unsat
(error "line 1556 column 10: check annotation that says sat")
(:added-eqs                   2434
 :arith-eq-adapter            1598
 :arith-bound-propagations-lp 306
 :arith-branch                96
 :arith-conflicts             58
 :arith-cube-calls            24
 :arith-dio-calls             97
 :arith-dio-tighten-conflicts 1
 :arith-diseq                 956
 :arith-fixed-eqs             23
 :arith-gcd-calls             97
 :arith-lower                 4206
 :arith-make-feasible         2085
 :arith-max-columns           1345
 :arith-max-rows              468
 :arith-patches               97
 :arith-upper                 2967
 :binary-propagations         2337
 :conflicts                   95
 :decisions                   1486
 :del-clause                  1612
 :final-checks                97
 :max-memory                  27.61
 :memory                      21.22
 :mk-bool-var                 6309
 :mk-clause                   1726
 :mk-clause-binary            585
 :num-allocs                  100431856
 :num-checks                  1
 :propagations                2775
 :rlimit-count                470239
 :solve-eqs-elim-vars         664
 :solve-eqs-steps             5037
 :time                        0.42
 :total-time                  0.51)
